,log,log2,log_gs,log_gs2,tvec_log,tvec_log2,tvec_log_gs,tvec_log_gs2,nb,tvec_nb,nb_gs,tvec_nb_gs,rf,tvec_rf
BestModelScore,0.872,0.871,0.878,0.878,0.863,0.862,0.878,0.873,0.865,0.862,0.877,0.872,0.841,0.857
TrainScore,0.931,0.93,0.952,0.951,0.916,0.916,0.933,0.925,0.897,0.896,0.914,0.919,0.99,0.99
TestScore,0.849,0.856,0.862,0.862,0.846,0.846,0.86,0.847,0.843,0.847,0.853,0.853,0.822,0.843
TrueNeg,419.0,420.0,423.0,421.0,413.0,414.0,420.0,420.0,395.0,400.0,398.0,399.0,380.0,404.0
FalsePos,51.0,50.0,47.0,49.0,57.0,56.0,50.0,50.0,75.0,70.0,72.0,71.0,90.0,66.0
FalseNeg,87.0,82.0,79.0,77.0,84.0,85.0,78.0,78.0,69.0,70.0,63.0,64.0,73.0,78.0
TruePos,359.0,364.0,367.0,369.0,362.0,361.0,368.0,368.0,377.0,376.0,383.0,382.0,373.0,368.0
Accuracy,0.849,0.856,0.862,0.862,0.846,0.846,0.86,0.86,0.843,0.847,0.853,0.853,0.822,0.843
Sensitivity,0.805,0.816,0.823,0.827,0.812,0.809,0.825,0.825,0.845,0.843,0.859,0.857,0.836,0.825
Specificity,0.891,0.894,0.9,0.896,0.879,0.881,0.894,0.894,0.84,0.851,0.847,0.849,0.809,0.86
Precision,0.876,0.879,0.886,0.883,0.864,0.866,0.88,0.88,0.834,0.843,0.842,0.843,0.806,0.848
F1,0.839,0.847,0.853,0.854,0.837,0.837,0.852,0.852,0.84,0.843,0.85,0.85,0.821,0.836
ROCAUC,0.848,0.855,0.861,0.862,0.845,0.845,0.859,0.859,0.843,0.847,0.853,0.853,0.822,0.842
