,bigram,count,frequency
0,covid 19,125,0.8494733265375467
1,hong kong,40,0.27183146449201495
2,chad president,26,0.17669045191980973
3,new zealand,23,0.1563030920829086
4,climate change,21,0.14271151885830785
5,president idriss,19,0.1291199456337071
6,czech republic,18,0.12232415902140673
7,sanctions russia,16,0.10873258579680598
8,covid vaccine,16,0.10873258579680598
9,19 vaccine,15,0.10193679918450561
10,year old,15,0.10193679918450561
11,raul castro,15,0.10193679918450561
12,black sea,14,0.09514101257220522
13,alexei navalny,14,0.09514101257220522
14,social media,14,0.09514101257220522
15,communist party,14,0.09514101257220522
16,super league,13,0.08834522595990486
17,18 russian,13,0.08834522595990486
18,near ukraine,13,0.08834522595990486
19,india covid,13,0.08834522595990486
20,russian diplomats,13,0.08834522595990486
21,prime minister,12,0.08154943934760449
22,pro democracy,12,0.08154943934760449
23,china sea,12,0.08154943934760449
24,idriss deby,12,0.08154943934760449
25,south china,12,0.08154943934760449
26,amp x27,11,0.07475365273530411
27,myanmar junta,10,0.06795786612300374
28,jimmy lai,10,0.06795786612300374
29,ammunition depot,10,0.06795786612300374
30,south korean,10,0.06795786612300374
31,russia expels,10,0.06795786612300374
32,human rights,10,0.06795786612300374
33,expels 20,9,0.06116207951070336
34,19 cases,9,0.06116207951070336
35,new sanctions,9,0.06116207951070336
36,new covid,9,0.06116207951070336
37,anti france,9,0.06116207951070336
38,ethiopia tigray,9,0.06116207951070336
39,deby dies,9,0.06116207951070336
40,south korea,9,0.06116207951070336
41,covid surge,8,0.05436629289840299
42,pakistan pm,8,0.05436629289840299
43,150 000,8,0.05436629289840299
44,200 000,8,0.05436629289840299
45,prison hospital,8,0.05436629289840299
46,india capital,8,0.05436629289840299
47,fedex facility,8,0.05436629289840299
48,czech diplomats,8,0.05436629289840299
49,police say,8,0.05436629289840299
50,covid cases,8,0.05436629289840299
51,russia ukraine,8,0.05436629289840299
52,19 vaccines,8,0.05436629289840299
53,european super,8,0.05436629289840299
54,nuclear talks,8,0.05436629289840299
55,carbon emissions,7,0.04757050628610261
56,idriss déby,7,0.04757050628610261
57,crimes humanity,7,0.04757050628610261
58,jewish woman,7,0.04757050628610261
59,pm says,7,0.04757050628610261
60,000 troops,7,0.04757050628610261
61,coronavirus variant,7,0.04757050628610261
62,south african,7,0.04757050628610261
63,supreme court,7,0.04757050628610261
64,sexual slavery,7,0.04757050628610261
65,france protests,7,0.04757050628610261
66,military build,7,0.04757050628610261
67,putin critic,7,0.04757050628610261
68,russian military,7,0.04757050628610261
69,opponents myanmar,7,0.04757050628610261
70,citizens leave,7,0.04757050628610261
71,depot blast,7,0.04757050628610261
72,philippine sea,7,0.04757050628610261
73,20 czech,7,0.04757050628610261
74,china russia,7,0.04757050628610261
75,leave pakistan,7,0.04757050628610261
76,china says,7,0.04757050628610261
77,french envoy,7,0.04757050628610261
78,white house,7,0.04757050628610261
79,french ambassador,7,0.04757050628610261
80,president killed,7,0.04757050628610261
81,russian troops,7,0.04757050628610261
82,far right,7,0.04757050628610261
83,says russia,7,0.04757050628610261
84,cape town,7,0.04757050628610261
85,report says,7,0.04757050628610261
86,kremlin critic,7,0.04757050628610261
87,anti french,6,0.040774719673802244
88,mars helicopter,6,0.040774719673802244
89,human monkey,6,0.040774719673802244
90,india pakistan,6,0.040774719673802244
91,biden administration,6,0.040774719673802244
92,military says,6,0.040774719673802244
93,castro steps,6,0.040774719673802244
94,eritrean troops,6,0.040774719673802244
95,travel bubble,6,0.040774719673802244
96,daunte wright,6,0.040774719673802244
97,19 india,6,0.040774719673802244
98,confirms leaked,6,0.040774719673802244
99,national security,6,0.040774719673802244
100,pakistan parliament,6,0.040774719673802244
101,republic expels,6,0.040774719673802244
102,second wave,6,0.040774719673802244
103,australian navy,6,0.040774719673802244
104,democracy protests,6,0.040774719673802244
105,myanmar military,6,0.040774719673802244
106,expels 18,6,0.040774719673802244
107,joe biden,6,0.040774719673802244
108,hospital beds,6,0.040774719673802244
109,cuba raul,6,0.040774719673802244
110,amp vaccine,6,0.040774719673802244
111,cuba communist,6,0.040774719673802244
112,new delhi,6,0.040774719673802244
113,navalny transferred,6,0.040774719673802244
114,navalny dies,6,0.040774719673802244
115,critic alexei,6,0.040774719673802244
116,astrazeneca vaccine,6,0.040774719673802244
117,uranium 60,6,0.040774719673802244
118,skripal suspects,6,0.040774719673802244
119,tokyo olympics,6,0.040774719673802244
120,virus surge,6,0.040774719673802244
121,unity government,6,0.040774719673802244
122,comfort women,6,0.040774719673802244
123,amid covid,6,0.040774719673802244
124,coronavirus pandemic,6,0.040774719673802244
125,west philippine,6,0.040774719673802244
126,clashes rebels,6,0.040774719673802244
127,bbc news,6,0.040774719673802244
128,dutch mobile,5,0.03397893306150187
129,boris johnson,5,0.03397893306150187
130,cast doubt,5,0.03397893306150187
131,castro confirms,5,0.03397893306150187
132,dies frontline,5,0.03397893306150187
133,critic navalny,5,0.03397893306150187
134,vaccine production,5,0.03397893306150187
135,expel 18,5,0.03397893306150187
136,stop cremations,5,0.03397893306150187
137,expel russian,5,0.03397893306150187
138,fukushima nuclear,5,0.03397893306150187
139,pentagon confirms,5,0.03397893306150187
140,house commons,5,0.03397893306150187
141,era cuba,5,0.03397893306150187
142,test positive,5,0.03397893306150187
143,czechs expel,5,0.03397893306150187
144,shooting fedex,5,0.03397893306150187
145,power plant,5,0.03397893306150187
146,parliament vote,5,0.03397893306150187
147,humanitarian crisis,5,0.03397893306150187
148,blood clot,5,0.03397893306150187
149,23 000,5,0.03397893306150187
150,enriching uranium,5,0.03397893306150187
151,24 hours,5,0.03397893306150187
152,déby dies,5,0.03397893306150187
153,covid patients,5,0.03397893306150187
154,india counting,5,0.03397893306150187
155,doubt india,5,0.03397893306150187
156,depot explosion,5,0.03397893306150187
157,liberal mp,5,0.03397893306150187
158,2014 blast,5,0.03397893306150187
159,study finds,5,0.03397893306150187
160,press freedom,5,0.03397893306150187
161,train derails,5,0.03397893306150187
162,30 years,5,0.03397893306150187
163,blocks social,5,0.03397893306150187
164,times india,5,0.03397893306150187
165,tensions rise,5,0.03397893306150187
166,covid variant,5,0.03397893306150187
167,counting covid,5,0.03397893306150187
168,cremations cast,5,0.03397893306150187
169,clam shells,5,0.03397893306150187
170,ukraine russia,5,0.03397893306150187
171,000 new,5,0.03397893306150187
172,000 russian,5,0.03397893306150187
173,northern ireland,5,0.03397893306150187
174,19 deaths,5,0.03397893306150187
175,says covid,5,0.03397893306150187
176,iran nuclear,5,0.03397893306150187
177,greta thunberg,5,0.03397893306150187
178,police raid,5,0.03397893306150187
179,pandemic news,5,0.03397893306150187
180,afghanistan withdrawal,5,0.03397893306150187
181,injured train,5,0.03397893306150187
182,election interference,5,0.03397893306150187
183,goes missing,5,0.03397893306150187
184,19 patients,5,0.03397893306150187
185,ukraine border,5,0.03397893306150187
186,weapon war,5,0.03397893306150187
187,million covid,5,0.03397893306150187
188,covid dead,5,0.03397893306150187
189,04 2021,5,0.03397893306150187
190,giant clam,5,0.03397893306150187
191,non stop,5,0.03397893306150187
192,embassy staff,5,0.03397893306150187
193,typhoon surigae,5,0.03397893306150187
194,120 000,5,0.03397893306150187
195,raw material,5,0.03397893306150187
196,yoshihide suga,5,0.03397893306150187
197,south africa,5,0.03397893306150187
198,navalny die,5,0.03397893306150187
199,france advises,4,0.027183146449201494
200,climate action,4,0.027183146449201494
201,explosion ammunition,4,0.027183146449201494
202,head cuba,4,0.027183146449201494
203,outdoor mask,4,0.027183146449201494
204,death toll,4,0.027183146449201494
205,highest rate,4,0.027183146449201494
206,imposes sanctions,4,0.027183146449201494
207,build near,4,0.027183146449201494
208,tigray region,4,0.027183146449201494
209,climate crisis,4,0.027183146449201494
210,people killed,4,0.027183146449201494
211,putin warns,4,0.027183146449201494
212,tigray says,4,0.027183146449201494
213,spanish police,4,0.027183146449201494
214,uranium enrichment,4,0.027183146449201494
215,navalny moved,4,0.027183146449201494
216,detains ukrainian,4,0.027183146449201494
217,deadly clashes,4,0.027183146449201494
